id,mitigated,mitigated_by,tags,request_response,accepted_risks,push_to_jira,found_by,age,sla_days_remaining,finding_meta,related_fields,jira_creation,jira_change,display_status,finding_groups,vulnerability_ids,reporter,endpoints,created,updated,title,date,sla_start_date,sla_expiration_date,cwe,epss_score,epss_percentile,known_exploited,ransomware_used,kev_date,cvssv3,cvssv3_score,cvssv4,cvssv4_score,url,severity,description,mitigation,fix_available,fix_version,impact,steps_to_reproduce,severity_justification,references,active,verified,false_p,duplicate,out_of_scope,risk_accepted,under_review,last_status_update,under_defect_review,is_mitigated,thread_id,numerical_severity,last_reviewed,param,payload,hash_code,line,file_path,component_name,component_version,static_finding,dynamic_finding,scanner_confidence,unique_id_from_tool,vuln_id_from_tool,sast_source_object,sast_sink_object,sast_source_line,sast_source_file_path,nb_occurences,publish_date,service,planned_remediation_date,planned_remediation_version,effort_for_fixing,test,duplicate_finding,review_requested_by,defect_review_requested_by,last_reviewed_by,sonarqube_issue,reviewers,notes,files,product_id,engagement_id,product_name
58,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.943432Z,2026-02-21T16:03:48.289888Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.289815Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,906e446bf52068c81cb3bd73711dadb731e0be44f03c3ee073876ee2001579b5,15.0,src/app.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 11, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.281326Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.281350Z'}]",[],4,2,Invisi
59,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.951910Z,2026-02-21T16:03:48.303340Z,Path-Traversal,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** PATH TRAVERSAL - Utilisez path.basename()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.303268Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,b677c9e8488a2e9936d65a7f681c38d8ac3d6f8a23d516d48f8ba50037c2e821,4.0,src/database/db.js,,,True,False,,,path-traversal,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 12, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.294586Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.294611Z'}]",[],4,2,Invisi
60,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.961548Z,2026-02-21T16:03:48.314541Z,No-Console-Log,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** Evitez console.log en production. Utilisez logger.info()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.314464Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,b5e4cbc870375a2123b19977741d35d5aa6bd35923d32651b16acab105078224,47.0,src/database/db.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 13, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.306894Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.306915Z'}]",[],4,2,Invisi
61,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.969341Z,2026-02-21T16:03:48.326608Z,XSS-Reflected-Basic,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** XSS REFLECHI - Echappez les variables avec escapeHtml()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.326537Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,ebf8936e09b3a7bab90ca0c2e29232fd1bffe5c11a2c8a309eb7d34d3bf4fab4,14.0,src/routes/comments.js,,,True,False,,,xss-reflected-basic,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 14, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.318824Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.318842Z'}]",[],4,2,Invisi
62,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.975339Z,2026-02-21T16:03:48.338366Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.338254Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,3925002192fd4aed1f36a1d0df4e2294bc380ccf6b27fe56eae0e4b84aa9c0a1,14.0,src/routes/comments.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 15, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.330569Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.330589Z'}]",[],4,2,Invisi
63,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.985110Z,2026-02-21T16:03:48.351880Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.351808Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,384bd08ddff77ef569fd5e2352dfaea7702a90c01756ef64cfd1e3ee804fdecc,57.0,src/routes/comments.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 16, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.342308Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.342331Z'}]",[],4,2,Invisi
64,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.992541Z,2026-02-21T16:03:48.363498Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.363422Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,cc12775a677084fac6bea9d6417fcf4d6a91d603951eab4f01c4d679dd0ace81,60.0,src/routes/comments.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 17, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.355632Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.355651Z'}]",[],4,2,Invisi
65,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:24.998550Z,2026-02-21T16:03:48.375676Z,XSS-Reflected-Basic,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** XSS REFLECHI - Echappez les variables avec escapeHtml()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.375606Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,bec29382d3e4bec4796293be8ec783e0dc7ffbc320de3973e10af510081d3886,82.0,src/routes/comments.js,,,True,False,,,xss-reflected-basic,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 18, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.366697Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.366719Z'}]",[],4,2,Invisi
66,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:25.006625Z,2026-02-21T16:03:48.386364Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.386256Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,5fcc66223f4e27d1daf95f7f6ccef339d64815141d60f587cb37faf5614b2a76,82.0,src/routes/comments.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 19, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.378935Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.378954Z'}]",[],4,2,Invisi
67,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:25.011095Z,2026-02-21T16:03:48.403225Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.403150Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,a6c8359cacc088c912ee7e4546b5e14cd400ff0cdbee0b78ef112b01bd5b040e,40.0,src/routes/history.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 20, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.393294Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.393316Z'}]",[],4,2,Invisi
68,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,85.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:25.015763Z,2026-02-21T16:03:48.414304Z,No-Console-Log,2026-02-16,,2026-05-17,0,,,False,False,,,,,,,Medium,"**Result message:** Evitez console.log en production. Utilisez logger.info()
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.414232Z,False,True,0,S2,2026-02-16T10:10:23.074973Z,,,234a2ba285bb50dca543bfcf897848b058490dea0157ac71b1d075d70b4f74ee,42.0,src/routes/history.js,,,True,False,,,no-console-log,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 21, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.406623Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.406644Z'}]",[],4,2,Invisi
69,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:25.021062Z,2026-02-21T16:03:48.425670Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.425583Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,bcfc33ecd5a37dc1104bae6b4017c7e59d0bc0684a9232c3564ca24e8ebfb2c8,56.0,src/routes/history.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 22, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.417802Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.417822Z'}]",[],4,2,Invisi
70,2026-02-21T16:03:47.547256Z,1.0,[],{'req_resp': []},[],False,[29],5,25.0,[],,,,"Inactive, Mitigated",[],[],1,[],2026-02-16T10:10:25.026064Z,2026-02-21T16:03:48.437656Z,SQL-Injection-Template,2026-02-16,,2026-03-18,0,,,False,False,,,,,,,High,"**Result message:** SQL INJECTION - Utilisez des parametres ? au lieu de ${...}
",,,,,,,,False,False,False,False,False,False,False,2026-02-21T16:03:48.437558Z,False,True,0,S1,2026-02-16T10:10:23.074973Z,,,5d40c04ef403a7eb53e79e11e45c15f6da12a1ce1b52ec4e49fe250d62becdee,73.0,src/routes/history.js,,,True,False,,,sql-injection-template,,,,,1.0,,,,,,4,,,,1,,[],"[{'id': 23, 'author': {'id': 1, 'username': 'admin', 'first_name': 'Admin', 'last_name': 'User'}, 'editor': None, 'history': [], 'note_type': None, 'entry': 'This Finding has been automatically closed by the Test: \n ""None""\nhttp://localhost:8080/test/17\n\nThis is because this Finding is not present anymore in recent scans.', 'date': '2026-02-21T16:03:48.429914Z', 'private': False, 'edited': False, 'edit_time': '2026-02-21T16:03:48.429932Z'}]",[],4,2,Invisi
